model_name,trained_on,tested_on,accuracy,f1,loss
ettin-68m,Abstracts,Abstracts,0.9933333333333333,0.9933065595716198,0.023918401449918747
ettin-68m,Abstracts,RAID,0.569659935031008,0.24459685780365262,3.741947650909424
ettin-68m,Abstracts,Wiki,0.6903111111111111,0.5516664521940549,1.3356451988220215
ettin-68m,Abstracts,MAGE,0.5160737248178311,0.07192766132346896,3.9378209114074707
ettin-68m,Wiki,Abstracts,0.5566666666666666,0.5739910313901345,5.778263092041016
ettin-68m,Wiki,RAID,0.7759478430748961,0.7440508628519528,2.6214871406555176
ettin-68m,Wiki,Wiki,0.9996666666666667,0.9996665703425434,0.001884085708297789
ettin-68m,Wiki,MAGE,0.5518288326903843,0.51001679228336,5.050203800201416
ettin-68m,RAID,RAID,0.9771472706208401,0.9768405543533312,0.09325170516967773
ettin-68m,RAID,Abstracts,0.7216666666666667,0.7815851425582003,4.039788246154785
ettin-68m,RAID,Wiki,0.9951333333333333,0.9951388426450023,0.02647765539586544
ettin-68m,RAID,MAGE,0.7542148878411201,0.781243045620728,1.6162763833999634
ettin-68m,MAGE,MAGE,0.9502786112301758,0.9507779349363508,0.14271539449691772
ettin-68m,MAGE,Abstracts,0.8456666666666667,0.8302163549688302,0.45810389518737793
ettin-68m,MAGE,Wiki,0.8988222222222222,0.9035320041528063,0.25741440057754517
ettin-68m,MAGE,RAID,0.7714954226391949,0.7924909747292419,0.918100893497467
modernbert-base,Abstracts,Abstracts,0.9916666666666667,0.9916471767457401,0.0524783581495285
modernbert-base,Abstracts,RAID,0.6038027305149815,0.34444653260665287,5.314747333526611
modernbert-base,Abstracts,Wiki,0.6741333333333334,0.5172822437290144,2.776181697845459
modernbert-base,Abstracts,MAGE,0.5306472353193313,0.12899376905740423,5.678299427032471
modernbert-base,Wiki,Wiki,0.9995111111111111,0.9995108937305469,0.004103029612451792
modernbert-base,Wiki,Abstracts,0.5483333333333333,0.5997045790251108,6.84196662902832
modernbert-base,Wiki,RAID,0.7532314122805025,0.7121545350963194,3.6983070373535156
modernbert-base,Wiki,MAGE,0.5148949849978568,0.5285520880341583,7.089345455169678
modernbert-base,RAID,RAID,0.9751709411417279,0.974919112416531,0.07983256131410599
modernbert-base,RAID,Abstracts,0.7263333333333334,0.7836627140974967,3.359696626663208
modernbert-base,RAID,Wiki,0.9900444444444444,0.9900915645596496,0.041716042906045914
modernbert-base,RAID,MAGE,0.7514644949278468,0.7829829704946666,1.2415703535079956
modernbert-base,MAGE,MAGE,0.9533861980282897,0.952916982357398,0.1446491926908493
modernbert-base,MAGE,Abstracts,0.8733333333333333,0.8625180897250362,0.4262830317020416
modernbert-base,MAGE,Wiki,0.8951555555555556,0.8938343834383439,0.3141922056674957
modernbert-base,MAGE,RAID,0.7672247336498489,0.7662156920900732,1.037392497062683
ettin-decoder-68m,Abstracts,Abstracts,0.9953333333333333,0.9953271028037384,0.02367246523499489
ettin-decoder-68m,Abstracts,RAID,0.6016673860203084,0.33892554194156455,3.4808926582336426
ettin-decoder-68m,Abstracts,Wiki,0.6854444444444444,0.5421612704984313,1.5988500118255615
ettin-decoder-68m,Abstracts,MAGE,0.5310758679811401,0.12886529528865295,4.229934215545654
ettin-decoder-68m,Wiki,Wiki,0.9994444444444445,0.9994442591975102,0.0026208299677819014
ettin-decoder-68m,Wiki,Abstracts,0.564,0.6186588921282798,4.311017036437988
ettin-decoder-68m,Wiki,RAID,0.7885781785965789,0.7626189200908001,2.0034828186035156
ettin-decoder-68m,Wiki,MAGE,0.5348264037719674,0.539872098364131,4.320720195770264
ettin-decoder-68m,RAID,RAID,0.9771245541900456,0.9769401635027136,0.09727079421281815
ettin-decoder-68m,RAID,Abstracts,0.6966666666666667,0.7667862634546386,3.186058521270752
ettin-decoder-68m,RAID,Wiki,0.9899333333333333,0.9900112456175167,0.05025690793991089
ettin-decoder-68m,RAID,MAGE,0.7242106015145021,0.7633700082748476,1.8280043601989746
ettin-decoder-68m,MAGE,MAGE,0.9534219174167738,0.9533085075909482,0.1283087283372879
ettin-decoder-68m,MAGE,Abstracts,0.9133333333333333,0.91162474507138,0.25707805156707764
ettin-decoder-68m,MAGE,Wiki,0.8808444444444444,0.8847674718473308,0.3204914629459381
ettin-decoder-68m,MAGE,RAID,0.7805592785261579,0.8019436585065813,0.9361639618873596
